sum_1,sum_2,norm,accel,scan
-0.3155049979686737,-0.622435986995697,0.506887,-180.462838,25157500.0
-0.2818149924278259,-0.622655987739563,0.452601,151.318584,25160000.0
-0.2870990037918091,-0.6218000054359436,0.461722,-111.495453,25162500.0
-0.32536399364471436,-0.6252670288085938,0.52036,61.767905,25165000.0
-0.32750698924064636,-0.6244189739227295,0.524499,4.094521,25155000.0
-0.29126399755477905,-0.623852014541626,0.46688,-41.780645,25157500.0
-0.28964900970458984,-0.6216340065002441,0.465949,167.12086,25160000.0
-0.28054898977279663,-0.6196730136871338,0.452736,-148.830509,25162500.0
-0.2987000048160553,-0.6210709810256958,0.480943,182.499711,25165000.0
-0.33239999413490295,-0.6199250221252441,0.536193,-6.536817,25155000.0
-0.2667030096054077,-0.6197630167007446,0.43033,61.738527,25157500.0
-0.271928995847702,-0.6194970011711121,0.43895,80.222549,25160000.0
-0.3173049986362457,-0.6199060082435608,0.511859,40.086466,25162500.0
-0.3095090091228485,-0.622672975063324,0.497065,110.516728,25165000.0
-0.3293449878692627,-0.6229910254478455,0.528651,15.176189,25155000.0
-0.25534701347351074,-0.619700014591217,0.412049,165.392798,25157500.0
-0.2601580023765564,-0.6184399724006653,0.420669,9.999439,25160000.0
-0.33349499106407166,-0.6183030009269714,0.539371,161.723654,25162500.0
-0.32662299275398254,-0.6193789839744568,0.52734,23.616285,25165000.0
-0.31253498792648315,-0.6189529895782471,0.504941,121.55522,25155000.0
-0.2583650052547455,-0.6151660084724426,0.419993,107.732758,25157500.0
-0.27735400199890137,-0.6167610287666321,0.449695,122.550983,25160000.0
-0.3113720118999481,-0.6190299987792969,0.503001,-6.914796,25162500.0
-0.3128480017185211,-0.6198400259017944,0.504723,145.643433,25165000.0
-0.2768380045890808,-0.6167569756507874,0.448861,214.295858,25155000.0
-0.3099139928817749,-0.6209750175476074,0.499076,-160.121938,25157500.0
-0.3110870122909546,-0.6204569935798645,0.501384,276.440782,25160000.0
-0.3183009922504425,-0.6234620213508606,0.510537,11.322709,25162500.0
-0.30622100830078125,-0.621275007724762,0.492891,126.539004,25165000.0
-0.3252530097961426,-0.6235740184783936,0.521594,20.76907,25155000.0
-0.26612600684165955,-0.6179100275039673,0.430687,71.258258,25157500.0
-0.2877579927444458,-0.6209949851036072,0.463382,136.151868,25160000.0
-0.2779799997806549,-0.6164309978485107,0.450951,-174.046194,25162500.0
-0.2920910120010376,-0.6163820028305054,0.473879,202.319275,25165000.0
-0.32738199830055237,-0.6188120245933533,0.529049,-14.544559,25155000.0
-0.27599000930786133,-0.6154810190200806,0.448414,-9.976457,25157500.0
-0.2698090076446533,-0.6163370013237,0.437763,52.676119,25160000.0
-0.27580299973487854,-0.6153479814529419,0.448207,-144.702013,25162500.0
-0.32864001393318176,-0.6201030015945435,0.529976,-31.432871,25165000.0
-0.30603501200675964,-0.6188079714775085,0.494555,126.654327,25155000.0
-0.3072110116481781,-0.6198300123214722,0.495638,-187.208214,25157500.0
-0.26038700342178345,-0.617139995098114,0.421926,-168.488224,25160000.0
-0.3302760124206543,-0.6182990074157715,0.534168,181.09155,25162500.0
-0.3028309941291809,-0.6218559741973877,0.486979,-327.097879,25165000.0
-0.3264699876308441,-0.6232979893684387,0.523778,20.453652,25155000.0
-0.30453699827194214,-0.617904007434845,0.492855,-127.11569,25157500.0
-0.25805899500846863,-0.6153280138969421,0.419384,-144.050513,25160000.0
-0.29506200551986694,-0.6150519847869873,0.479735,-89.437419,25162500.0
-0.32468101382255554,-0.6196820139884949,0.523947,-177.457383,25165000.0
-0.32903000712394714,-0.6210439801216125,0.529802,-30.007239,25155000.0
-0.3281649947166443,-0.6211150288581848,0.528347,-263.14381,25157500.0
-0.25680598616600037,-0.619513988494873,0.414528,-6.03824,25160000.0
-0.26404300332069397,-0.6174730062484741,0.427619,-235.594123,25162500.0
-0.3326539993286133,-0.6215459704399109,0.535204,-109.072705,25165000.0
-0.3337230086326599,-0.6221929788589478,0.536365,-94.076926,25155000.0
-0.32698801159858704,-0.6215559840202332,0.52608,-227.581508,25157500.0
-0.25953400135040283,-0.6205610036849976,0.418226,-23.262094,25160000.0
-0.27011701464653015,-0.6181250214576721,0.436995,-193.709866,25162500.0
-0.3357119858264923,-0.6220679879188538,0.539671,-87.238241,25165000.0
